topic_group,horizon_months,dong_cluster,end_month,topic_share_window,outflow_window
시설노후/파손,3,산성동,202405,0.9166666666666666,-0.49566294919454773
시설노후/파손,3,산성동,202406,0.8690476190476191,-0.4543577034283354
시설노후/파손,3,삼평동,202403,0.8036901370234704,-0.19748210318439888
시설노후/파손,3,삼평동,202404,0.8438135938135938,-0.2550810499465152
시설노후/파손,3,삼평동,202405,0.9100608180919062,-0.18102526125236562
시설노후/파손,3,삼평동,202406,0.9020107286464679,-0.2139389451164321
시설노후/파손,3,상대원동,202403,0.9279654785401913,0.14047762392133253
시설노후/파손,3,상대원동,202404,0.9419946592360385,0.11539233393538029
시설노후/파손,3,상대원동,202405,0.9617151911269559,0.30102347983142685
시설노후/파손,3,상대원동,202406,0.9632303426421074,0.5719446116797111
시설노후/파손,3,서현동,202403,0.8499037057143227,0.3762798943521835
시설노후/파손,3,서현동,202404,0.8762779060015665,0.27497376894967257
시설노후/파손,3,서현동,202405,0.9223649625250555,0.14110496038206882
시설노후/파손,3,서현동,202406,0.9488091217034894,0.06874344223741814
시설노후/파손,3,성남동,202403,0.9673466809827574,-0.3075030750307503
시설노후/파손,3,성남동,202404,0.9637776477356558,-0.41410414104141036
시설노후/파손,3,성남동,202405,0.9776054059516183,-0.15990159901599013
시설노후/파손,3,성남동,202406,0.975355704150347,-0.0943009430094301
시설노후/파손,3,수내동,202403,0.8509529576746558,0.6955749593014652
시설노후/파손,3,수내동,202404,0.8613479680696662,0.7153075822603719
시설노후/파손,3,수내동,202405,0.890199886534894,0.6659760248631049
시설노후/파손,3,수내동,202406,0.9243418452051547,0.6807754920822852
시설노후/파손,3,수진동,202403,0.8597480106100797,0.7735433964942162
시설노후/파손,3,수진동,202404,0.8670198848770277,0.8870910510254774
시설노후/파손,3,수진동,202405,0.9283902085424334,0.44709388971684066
시설노후/파손,3,수진동,202406,0.9555641215859118,0.14903129657228023
시설노후/파손,3,시흥동,202403,0.9523809523809524,-0.8244994110718493
시설노후/파손,3,시흥동,202404,0.919047619047619,-0.618374558303887
시설노후/파손,3,시흥동,202405,0.9363636363636364,-0.3533568904593641
시설노후/파손,3,시흥동,202406,0.9363636363636364,0.4122497055359246
시설노후/파손,3,신흥동,202403,0.9490800865800866,-2.400051544731162
시설노후/파손,3,신흥동,202404,0.9464285714285715,-1.3208337360265454
시설노후/파손,3,신흥동,202405,0.9503012048192772,-0.7763925131277988
