month,dong_cluster,youth_in,youth_out,youth_net,youth_pop,total_pop,monthly_outflow_rate,month_dt,complaint_count,processed_count,processing_days_median,parking_count,parking_share,processed_rate,complaints_per_1000_totalpop_month,negative_net_flag,topic_group,complaint_count_topic,month_cluster_total,topic_share
202406,백현동,107,59,48,4846,26189,-0.990507635163021,2024-06-01,17.0,19.0,0.0,4.0,0.1666666666666666,0.7916666666666666,0.9164152888617358,0,시설노후/파손,17.0,24.0,0.7083333333333334
202401,복정동,96,140,-44,3955,13540,1.1125158027812896,2024-01-01,3.0,3.0,1.0,0.0,0.0,1.0,0.22156573116691286,1,시설노후/파손,3.0,3.0,1.0
202402,복정동,142,158,-16,3955,13540,0.404551201011378,2024-02-01,4.0,4.0,3.0,0.0,0.0,1.0,0.2954209748892171,1,시설노후/파손,4.0,4.0,1.0
202403,복정동,102,114,-12,3955,13540,0.3034134007585335,2024-03-01,1.0,5.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.4431314623338257,1,불법주정차,1.0,6.0,0.1666666666666666
202403,복정동,102,114,-12,3955,13540,0.3034134007585335,2024-03-01,5.0,5.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.4431314623338257,1,시설노후/파손,5.0,6.0,0.8333333333333334
202404,복정동,84,91,-7,3955,13540,0.17699115044247787,2024-04-01,4.0,34.0,0.0,4.0,0.1142857142857142,0.9714285714285714,2.58493353028065,1,불법주정차,4.0,35.0,0.1142857142857142
202404,복정동,84,91,-7,3955,13540,0.17699115044247787,2024-04-01,1.0,34.0,0.0,4.0,0.1142857142857142,0.9714285714285714,2.58493353028065,1,생활환경,1.0,35.0,0.0285714285714285
202404,복정동,84,91,-7,3955,13540,0.17699115044247787,2024-04-01,30.0,34.0,0.0,4.0,0.1142857142857142,0.9714285714285714,2.58493353028065,1,시설노후/파손,30.0,35.0,0.8571428571428571
202405,복정동,74,75,-1,3955,13540,0.025284450063211124,2024-05-01,37.0,29.0,0.0,0.0,0.0,0.7837837837837838,2.7326440177252587,1,시설노후/파손,37.0,37.0,1.0
202406,복정동,50,76,-26,3955,13540,0.6573957016434893,2024-06-01,1.0,16.0,0.0,1.0,0.0588235294117647,0.9411764705882353,1.2555391432791727,1,불법주정차,1.0,17.0,0.0588235294117647
202406,복정동,50,76,-26,3955,13540,0.6573957016434893,2024-06-01,16.0,16.0,0.0,1.0,0.0588235294117647,0.9411764705882353,1.2555391432791727,1,시설노후/파손,16.0,17.0,0.9411764705882352
202401,분당동,85,131,-46,4612,24357,0.997398091934085,2024-01-01,1.0,13.0,0.0,0.0,0.0,0.8666666666666667,0.615839389087326,1,공원/녹지,1.0,15.0,0.0666666666666666
202401,분당동,85,131,-46,4612,24357,0.997398091934085,2024-01-01,14.0,13.0,0.0,0.0,0.0,0.8666666666666667,0.615839389087326,1,시설노후/파손,14.0,15.0,0.9333333333333332
202402,분당동,121,117,4,4612,24357,-0.08673026886383348,2024-02-01,8.0,7.0,0.0,0.0,0.0,0.875,0.3284476741799072,0,시설노후/파손,8.0,8.0,1.0
202403,분당동,111,117,-6,4612,24357,0.13009540329575023,2024-03-01,1.0,8.0,0.0,0.0,0.0,1.0,0.3284476741799072,1,불법광고물,1.0,8.0,0.125
202403,분당동,111,117,-6,4612,24357,0.13009540329575023,2024-03-01,1.0,8.0,0.0,0.0,0.0,1.0,0.3284476741799072,1,생활환경,1.0,8.0,0.125
202403,분당동,111,117,-6,4612,24357,0.13009540329575023,2024-03-01,6.0,8.0,0.0,0.0,0.0,1.0,0.3284476741799072,1,시설노후/파손,6.0,8.0,0.75
202404,분당동,92,136,-44,4612,24357,0.9540329575021683,2024-04-01,13.0,13.0,0.0,0.0,0.0,1.0,0.5337274705423493,1,시설노후/파손,13.0,13.0,1.0
202405,분당동,70,101,-31,4612,24357,0.6721595836947094,2024-05-01,67.0,42.0,0.0,0.0,0.0,0.6268656716417911,2.750749271256723,1,시설노후/파손,67.0,67.0,1.0
202406,분당동,65,94,-29,4612,24357,0.6287944492627927,2024-06-01,1.0,7.0,0.0,0.0,0.0,0.5833333333333334,0.49267151126986086,1,공원/녹지,1.0,12.0,0.0833333333333333
202406,분당동,65,94,-29,4612,24357,0.6287944492627927,2024-06-01,11.0,7.0,0.0,0.0,0.0,0.5833333333333334,0.49267151126986086,1,시설노후/파손,11.0,12.0,0.9166666666666666
202401,산성동,10,24,-14,807,4377,1.734820322180917,2024-01-01,0.0,0.0,,0.0,,,0.0,1,기타,,0.0,0.0
202402,산성동,16,14,2,807,4377,-0.24783147459727387,2024-02-01,2.0,1.0,1.0,0.0,0.0,0.5,0.4569339730408956,0,시설노후/파손,2.0,2.0,1.0
202403,산성동,40,19,21,807,4377,-2.6022304832713754,2024-03-01,0.0,0.0,,0.0,,,0.0,0,기타,,0.0,0.0
202404,산성동,17,15,2,807,4377,-0.24783147459727387,2024-04-01,1.0,3.0,0.0,1.0,0.25,0.75,0.9138679460817912,0,불법주정차,1.0,4.0,0.25
202404,산성동,17,15,2,807,4377,-0.24783147459727387,2024-04-01,3.0,3.0,0.0,1.0,0.25,0.75,0.9138679460817912,0,시설노후/파손,3.0,4.0,0.75
202405,산성동,25,17,8,807,4377,-0.9913258983890955,2024-05-01,6.0,3.0,0.0,0.0,0.0,0.5,1.3708019191226868,0,시설노후/파손,6.0,6.0,1.0
202406,산성동,15,14,1,807,4377,-0.12391573729863693,2024-06-01,1.0,4.0,0.0,0.0,0.0,0.5714285714285714,1.5992689056431346,0,불법광고물,1.0,7.0,0.1428571428571428
202406,산성동,15,14,1,807,4377,-0.12391573729863693,2024-06-01,6.0,4.0,0.0,0.0,0.0,0.5714285714285714,1.5992689056431346,0,시설노후/파손,6.0,7.0,0.8571428571428571
