month,dong_cluster,complaint_count,processed_count,processing_days_median,parking_count,parking_share
202408,단대동,2,1,1.0,0,0.0
202408,대장동,5,5,0.0,0,0.0
202408,도촌동,1,1,0.0,1,1.0
202408,백현동,5,2,2.0,0,0.0
202408,복정동,3,2,3.0,1,0.3333333333333333
202408,분당동,2,2,2.0,0,0.0
202408,산성동,1,1,3.0,1,1.0
202408,삼평동,3,2,4.0,0,0.0
202408,상대원동,2,1,4.0,0,0.0
202408,서현동,1,1,3.0,0,0.0
202408,성남동,6,5,1.0,0,0.0
202408,수내동,1,1,3.0,0,0.0
202408,수진동,3,1,3.0,1,0.3333333333333333
202408,신흥동,8,7,0.0,0,0.0
202408,야탑동,71,67,2.0,0,0.0
202408,양지동,20,20,0.0,0,0.0
202408,운중동,14,3,2.0,0,0.0
202408,위례동,1,1,2.0,1,1.0
202408,은행동,2,1,3.0,0,0.0
202408,이매동,1,1,1.0,0,0.0
202408,정자동,5,3,2.0,1,0.2
202408,중앙동,3,1,0.0,2,0.6666666666666666
202408,창곡동,4,4,0.5,2,0.5
202408,태평동,7,3,2.0,0,0.0
202408,판교동,2,2,1.0,1,0.5
202408,하대원동,1,1,3.0,0,0.0
202409,고등동,7,4,0.0,1,0.14285714285714285
202409,구미동,28,16,0.0,12,0.42857142857142855
202409,궁내동,2,0,,0,0.0
202409,금곡동,15,7,0.0,0,0.0
202409,금광동,63,20,1.0,17,0.2698412698412698
202409,금토동,2,2,0.0,0,0.0
202409,단대동,13,11,0.0,0,0.0
202409,대장동,11,10,0.0,1,0.09090909090909091
202409,도촌동,5,1,0.0,0,0.0
202409,동원동,1,1,0.0,0,0.0
202409,백현동,20,11,0.0,6,0.3
202409,복정동,13,8,0.0,2,0.15384615384615385
202409,분당동,10,7,0.0,2,0.2
202409,사송동,2,1,7.0,2,1.0
202409,삼평동,24,18,0.0,8,0.3333333333333333
202409,상대원동,23,7,0.0,2,0.08695652173913043
202409,서현동,28,19,0.0,1,0.03571428571428571
202409,석운동,1,1,3.0,1,1.0
202409,성남동,237,113,1.0,6,0.02531645569620253
202409,수내동,20,10,0.0,3,0.15
202409,수진동,19,11,0.0,3,0.15789473684210525
202409,시흥동,1,1,2.0,1,1.0
202409,신흥동,35,29,0.0,1,0.02857142857142857
202409,심곡동,16,12,0.0,0,0.0
202409,야탑동,20,10,0.0,8,0.4
202409,여수동,9,3,0.0,0,0.0
202409,오야동,3,2,0.0,1,0.3333333333333333
202409,운중동,10,8,0.0,2,0.2
202409,은행동,45,18,0.0,2,0.044444444444444446
202409,이매동,12,10,0.0,0,0.0
202409,정자동,78,42,0.0,5,0.0641025641025641
202409,중앙동,12,2,0.5,0,0.0
202409,창곡동,17,11,0.0,0,0.0
202409,태평동,17,12,0.0,3,0.17647058823529413
202409,판교동,51,33,0.0,1,0.0196078431372549
202409,하대원동,25,18,0.0,2,0.08
202410,고등동,12,11,0.0,1,0.08333333333333333
202410,구미동,41,29,0.0,10,0.24390243902439024
202410,궁내동,4,4,0.0,1,0.25
202410,금곡동,10,7,0.0,1,0.1
202410,금광동,86,62,1.0,7,0.08139534883720931
202410,금토동,9,6,0.0,2,0.2222222222222222
202410,단대동,17,12,0.0,3,0.17647058823529413
202410,대장동,7,4,0.0,0,0.0
202410,도촌동,7,5,0.0,1,0.14285714285714285
202410,백현동,12,10,0.0,1,0.08333333333333333
202410,복정동,14,12,0.0,0,0.0
202410,분당동,15,13,0.0,1,0.06666666666666667
202410,삼평동,27,19,0.0,6,0.2222222222222222
202410,상대원동,34,24,0.0,2,0.058823529411764705
202410,상적동,2,2,0.0,0,0.0
202410,서현동,58,45,0.0,6,0.10344827586206896
202410,성남동,250,203,1.0,4,0.016
202410,수내동,40,29,0.0,2,0.05
202410,수진동,23,20,0.0,1,0.043478260869565216
202410,시흥동,13,12,0.0,1,0.07692307692307693
202410,신촌동,1,1,0.0,0,0.0
202410,신흥동,42,40,0.0,0,0.0
202410,심곡동,7,7,0.0,1,0.14285714285714285
202410,야탑동,38,29,0.0,5,0.13157894736842105
202410,양지동,15,3,0.0,11,0.7333333333333333
202410,여수동,21,11,1.0,0,0.0
202410,오야동,3,2,0.0,0,0.0
202410,운중동,13,12,0.0,3,0.23076923076923078
202410,율동,4,4,0.0,0,0.0
202410,은행동,76,56,0.0,1,0.013157894736842105
202410,이매동,17,13,0.0,1,0.058823529411764705
202410,정자동,117,96,0.0,9,0.07692307692307693
202410,중앙동,31,19,1.0,7,0.22580645161290322
202410,창곡동,52,36,0.0,5,0.09615384615384616
202410,태평동,24,22,0.0,5,0.20833333333333334
202410,판교동,40,33,0.0,0,0.0
202410,하대원동,53,47,1.0,1,0.018867924528301886
202411,고등동,3,0,,1,0.3333333333333333
202411,구미동,50,36,0.0,16,0.32
202411,궁내동,1,0,,0,0.0
202411,금곡동,12,10,0.0,1,0.08333333333333333
202411,금광동,91,58,1.0,9,0.0989010989010989
202411,금토동,15,7,0.0,1,0.06666666666666667
