month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202404,정자동,시설노후/파손,69,74,0.9324324324324325
202404,중앙동,불법광고물,1,13,0.07692307692307693
202404,중앙동,시설노후/파손,12,13,0.9230769230769231
202404,창곡동,불법광고물,1,33,0.030303030303030304
202404,창곡동,불법주정차,2,33,0.06060606060606061
202404,창곡동,생활환경,1,33,0.030303030303030304
202404,창곡동,시설노후/파손,29,33,0.8787878787878788
202404,태평동,불법주정차,2,37,0.05405405405405406
202404,태평동,시설노후/파손,35,37,0.9459459459459459
202404,판교동,불법주정차,2,22,0.09090909090909091
202404,판교동,시설노후/파손,20,22,0.9090909090909091
202404,하대원동,불법주정차,1,33,0.030303030303030304
202404,하대원동,시설노후/파손,32,33,0.9696969696969697
202405,갈현동,불법주정차,1,2,0.5
202405,갈현동,시설노후/파손,1,2,0.5
202405,고등동,불법주정차,1,11,0.09090909090909091
202405,고등동,시설노후/파손,10,11,0.9090909090909091
202405,구미동,보행/도로안전,1,207,0.004830917874396135
202405,구미동,불법주정차,1,207,0.004830917874396135
202405,구미동,시설노후/파손,205,207,0.9903381642512077
202405,궁내동,불법주정차,1,8,0.125
202405,궁내동,시설노후/파손,7,8,0.875
202405,금곡동,기타,1,62,0.016129032258064516
202405,금곡동,불법주정차,1,62,0.016129032258064516
202405,금곡동,시설노후/파손,60,62,0.967741935483871
202405,금광동,불법주정차,3,329,0.00911854103343465
202405,금광동,시설노후/파손,326,329,0.9908814589665653
202405,금토동,시설노후/파손,30,30,1.0
202405,단대동,시설노후/파손,36,36,1.0
202405,대장동,시설노후/파손,24,24,1.0
202405,도촌동,시설노후/파손,8,8,1.0
202405,동원동,시설노후/파손,2,2,1.0
202405,백현동,불법주정차,3,105,0.02857142857142857
202405,백현동,시설노후/파손,102,105,0.9714285714285714
202405,복정동,시설노후/파손,37,37,1.0
202405,분당동,시설노후/파손,67,67,1.0
202405,산성동,시설노후/파손,6,6,1.0
202405,삼평동,공원/녹지,1,193,0.0051813471502590676
202405,삼평동,불법주정차,2,193,0.010362694300518135
202405,삼평동,시설노후/파손,190,193,0.9844559585492227
202405,상대원동,불법주정차,1,102,0.00980392156862745
202405,상대원동,시설노후/파손,101,102,0.9901960784313726
202405,서현동,불법주정차,3,341,0.008797653958944282
202405,서현동,시설노후/파손,338,341,0.9912023460410557
202405,성남동,불법광고물,1,512,0.001953125
202405,성남동,불법주정차,3,512,0.005859375
202405,성남동,시설노후/파손,508,512,0.9921875
202405,수내동,불법주정차,1,139,0.007194244604316547
202405,수내동,시설노후/파손,138,139,0.9928057553956835
202405,수진동,불법주정차,1,122,0.00819672131147541
202405,수진동,시설노후/파손,121,122,0.9918032786885246
202405,시흥동,생활환경,1,11,0.09090909090909091
202405,시흥동,시설노후/파손,10,11,0.9090909090909091
202405,신흥동,불법주정차,2,166,0.012048192771084338
202405,신흥동,생활환경,2,166,0.012048192771084338
202405,신흥동,시설노후/파손,162,166,0.9759036144578314
202405,심곡동,생활환경,1,13,0.07692307692307693
202405,심곡동,시설노후/파손,12,13,0.9230769230769231
202405,야탑동,불법주정차,2,351,0.005698005698005698
